Price,Adj Close,Close,High,Low,Open,Volume,Monthly_Return
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,
Date,,,,,,,
1985-01-01 00:00:00+00:00,179.6300048828125,179.6300048828125,180.27000427246094,163.36000061035156,167.1999969482422,2673710000,
1985-02-01 00:00:00+00:00,181.17999267578125,181.17999267578125,183.9499969482422,177.75,179.6300048828125,2194620000,0.008628779996860514
1985-03-01 00:00:00+00:00,180.66000366210938,180.66000366210938,183.88999938964844,176.52999877929688,181.17999267578125,2153090000,-0.0028700134379759934
1985-04-01 00:00:00+00:00,179.8300018310547,179.8300018310547,183.61000061035156,177.86000061035156,180.66000366210938,1981880000,-0.004594275513284285
1985-05-01 00:00:00+00:00,189.5500030517578,189.5500030517578,189.97999572753906,178.35000610351562,179.8300018310547,2350340000,0.05405105444993996
1985-06-01 00:00:00+00:00,191.85000610351562,191.85000610351562,191.85000610351562,185.02999877929688,189.5500030517578,2117000000,0.012134017487352766
1985-07-01 00:00:00+00:00,190.9199981689453,190.9199981689453,196.07000732421875,189.3000030517578,191.85000610351562,2463070000,-0.004847578342366599
1985-08-01 00:00:00+00:00,188.6300048828125,188.6300048828125,192.1699981689453,186.10000610351562,190.9199981689453,1923200000,-0.011994517641396585
1985-09-01 00:00:00+00:00,182.0800018310547,182.0800018310547,188.8000030517578,179.4499969482422,188.6300048828125,1860160000,-0.03472407826012114
1985-10-01 00:00:00+00:00,189.82000732421875,189.82000732421875,190.14999389648438,181.16000366210938,182.05999755859375,2543240000,0.04250881708769816
1985-11-01 00:00:00+00:00,202.1699981689453,202.1699981689453,203.39999389648438,189.3699951171875,189.82000732421875,2445370000,0.06506158659888994
1985-12-01 00:00:00+00:00,211.27999877929688,211.27999877929688,213.0800018310547,200.10000610351562,202.1699981689453,2804380000,0.045061090630958534
1986-01-01 00:00:00+00:00,211.77999877929688,211.77999877929688,214.57000732421875,202.60000610351562,211.27999877929688,2879010000,0.0023665278440403448
1986-02-01 00:00:00+00:00,226.9199981689453,226.9199981689453,227.9199981689453,210.82000732421875,211.77999877929688,2899100000,0.07148927885973944
